"date","ASIANPAINT.NS.Adjusted"
2022-04-01,3031.4619140625
2022-04-04,3035.20971679688
2022-04-05,3057.40454101562
2022-04-06,3070.25390625
2022-04-07,3071.22729492188
2022-04-08,3121.1162109375
2022-04-11,3073.61206054688
2022-04-12,3045.57690429688
2022-04-13,2998.85107421875
2022-04-18,2941.32080078125
2022-04-19,2911.77661132812
2022-04-20,3001.138671875
2022-04-21,3074.39111328125
2022-04-22,3080.37744140625
2022-04-25,3047.47509765625
2022-04-26,3042.65649414062
2022-04-27,3064.75390625
2022-04-28,3161.4658203125
2022-04-29,3151.24462890625
2022-05-02,3115.03198242188
2022-05-04,3018.51489257812
2022-05-05,2994.8603515625
2022-05-06,2936.16162109375
2022-05-09,2925.453125
2022-05-10,3004.40014648438
2022-05-11,2972.56811523438
2022-05-12,2959.23193359375
2022-05-13,2982.64379882812
2022-05-16,2920.24560546875
2022-05-17,2969.01513671875
2022-05-18,3017.78491210938
2022-05-19,2965.99755859375
2022-05-20,3027.37329101562
2022-05-23,3089.91723632812
2022-05-24,3004.88671875
2022-05-25,2762.69311523438
2022-05-26,2764.73706054688
2022-05-27,2759.578125
2022-05-30,2768.4853515625
2022-05-31,2783.71948242188
2022-06-01,2776.75927734375
2022-06-02,2831.32104492188
2022-06-03,2810.24584960938
2022-06-06,2742.63989257812
2022-06-07,2671.82177734375
2022-06-08,2633.37084960938
2022-06-09,2630.53173828125
2022-06-10,2652.02172851562
2022-06-13,2605.02685546875
2022-06-14,2580.20751953125
2022-06-15,2605.41845703125
2022-06-16,2601.79614257812
2022-06-17,2526.16381835938
2022-06-20,2604.97778320312
2022-06-21,2622.25830078125
2022-06-22,2610.509765625
2022-06-23,2700.43603515625
2022-06-24,2703.07934570312
2022-06-27,2761.87158203125
2022-06-28,2669.39990234375
2022-06-29,2641.30078125
2022-06-30,2638.75512695312
2022-07-01,2715.07275390625
2022-07-04,2731.86376953125
2022-07-05,2708.66015625
2022-07-06,2801.474609375
2022-07-07,2830.84643554688
2022-07-08,2819.4892578125
2022-07-11,2871.62426757812
2022-07-12,2832.60864257812
2022-07-13,2879.60327148438
2022-07-14,2877.59619140625
2022-07-15,2915.77954101562
2022-07-18,2954.6484375
2022-07-19,2955.87231445312
2022-07-20,2943.48706054688
2022-07-21,3001.88793945312
2022-07-22,3003.16064453125
2022-07-25,3039.92407226562
2022-07-26,3043.39990234375
2022-07-27,3119.32568359375
2022-07-28,3203.86694335938
2022-07-29,3263.9326171875
2022-08-01,3254.92529296875
2022-08-02,3325.025390625
2022-08-03,3367.61474609375
2022-08-04,3388.02807617188
2022-08-05,3401.14697265625
2022-08-08,3386.02099609375
2022-08-10,3340.201171875
2022-08-11,3333.88623046875
2022-08-12,3356.06201171875
2022-08-16,3427.6796875
2022-08-17,3449.904296875
2022-08-18,3461.310546875
2022-08-19,3409.6162109375
2022-08-22,3279.59741210938
2022-08-23,3286.30395507812
2022-08-24,3308.087890625
2022-08-25,3292.08056640625
2022-08-26,3253.9462890625
2022-08-29,3273.2333984375
2022-08-30,3320.57104492188
2022-09-01,3374.3701171875
2022-09-02,3359.19482421875
2022-09-05,3353.07543945312
2022-09-06,3324.14453125
2022-09-07,3329.1376953125
2022-09-08,3377.89453125
2022-09-09,3369.76879882812
2022-09-12,3360.32080078125
2022-09-13,3350.53002929688
2022-09-14,3366.92944335938
2022-09-15,3324.29125976562
2022-09-16,3252.96704101562
2022-09-19,3246.798828125
2022-09-20,3322.13745117188
2022-09-21,3285.76538085938
2022-09-22,3364.041015625
2022-09-23,3324.14453125
2022-09-26,3366.04809570312
2022-09-27,3397.96533203125
2022-09-28,3495.87109375
2022-09-29,3313.91333007812
2022-09-30,3272.45043945312
2022-10-03,3233.72827148438
2022-10-04,3267.84838867188
2022-10-06,3259.23315429688
2022-10-07,3273.673828125
2022-10-10,3209.30102539062
2022-10-11,3229.61669921875
2022-10-12,3180.17431640625
2022-10-13,3141.794921875
2022-10-14,3118.787109375
2022-10-17,3130.63403320312
2022-10-18,3158.2919921875
2022-10-19,3145.46655273438
2022-10-20,3075.12109375
2022-10-21,3027.63696289062
2022-10-24,3056.2744140625
2022-10-25,3020.2939453125
2022-10-27,2979.71215820312
2022-10-28,2989.45361328125
2022-10-31,3047.00732421875
2022-11-01,3097.69750976562
2022-11-02,3070.73461914062
2022-11-03,3079.95092773438
2022-11-04,3119.21899414062
2022-11-07,3042.9384765625
2022-11-09,3026.22143554688
2022-11-10,2985.67895507812
2022-11-11,2995.72875976562
2022-11-14,2993.57153320312
2022-11-15,3019.162109375
2022-11-16,3022.8388671875
2022-11-17,3011.6123046875
2022-11-18,3035.04565429688
2022-11-21,3034.849609375
2022-11-22,3043.23266601562
2022-11-23,3040.2421875
2022-11-24,3054.458984375
2022-11-25,3047.44848632812
2022-11-28,3089.65795898438
2022-11-29,3073.82299804688
2022-11-30,3113.13989257812
2022-12-01,3117.25830078125
2022-12-02,3082.05908203125
2022-12-05,3095.24633789062
2022-12-06,3099.95263671875
2022-12-07,3163.4873046875
2022-12-08,3158.53588867188
2022-12-09,3163.92846679688
2022-12-12,3104.51196289062
2022-12-13,3116.42431640625
2022-12-14,3084.51025390625
2022-12-15,3069.4599609375
2022-12-16,2996.21875
2022-12-19,3020.77954101562
2022-12-20,3021.9560546875
2022-12-21,3009.70043945312
2022-12-22,3028.2314453125
2022-12-23,2998.17993164062
2022-12-26,2996.36596679688
2022-12-27,3051.81176757812
2022-12-28,3062.69482421875
2022-12-29,3054.31176757812
2022-12-30,3027.59375
2023-01-02,2987.73803710938
2023-01-03,2969.10888671875
2023-01-04,2957.93188476562
2023-01-05,2945.67578125
2023-01-06,2920.232421875
2023-01-09,2925.86987304688
2023-01-10,2902.53515625
2023-01-11,2882.97436523438
2023-01-12,2859.001953125
2023-01-13,2852.33471679688
2023-01-16,2859.10009765625
2023-01-17,2883.46484375
2023-01-18,2887.72973632812
2023-01-19,2810.17456054688
2023-01-20,2733.35473632812
2023-01-23,2730.0703125
2023-01-24,2755.7099609375
2023-01-25,2720.80517578125
2023-01-27,2669.47729492188
2023-01-30,2712.1767578125
2023-01-31,2672.61474609375
2023-02-01,2690.1650390625
2023-02-02,2652.80908203125
2023-02-03,2706.48999023438
2023-02-06,2700.4111328125
2023-02-07,2704.18603515625
2023-02-08,2711.58862304688
2023-02-09,2759.6318359375
2023-02-10,2749.82666015625
2023-02-13,2736.2470703125
2023-02-14,2722.76586914062
2023-02-15,2731.73681640625
2023-02-16,2751.150390625
2023-02-17,2778.26025390625
2023-02-20,2770.36767578125
2023-02-21,2762.08276367188
2023-02-22,2741.345703125
2023-02-23,2653.10327148438
2023-02-24,2685.01782226562
2023-02-27,2696.19482421875
2023-02-28,2773.55419921875
2023-03-01,2785.41772460938
2023-03-02,2778.55419921875
2023-03-03,2773.60302734375
2023-03-06,2808.60620117188
2023-03-08,2803.70361328125
2023-03-09,2797.82080078125
2023-03-10,2774.92651367188
2023-03-13,2729.82543945312
2023-03-14,2691.97924804688
2023-03-15,2772.18115234375
2023-03-16,2836.74536132812
2023-03-17,2806.74291992188
2023-03-20,2799.38940429688
2023-03-21,2783.65307617188
2023-03-22,2784.38818359375
2023-03-23,2743.15991210938
2023-03-24,2743.84594726562
2023-03-27,2748.9931640625
2023-03-28,2730.0703125
2023-03-29,2716.39282226562
2023-03-31,2707.71557617188
2023-04-03,2722.76586914062
2023-04-05,2753.65063476562
2023-04-06,2754.97436523438
2023-04-10,2722.12841796875
2023-04-11,2700.01904296875
2023-04-12,2732.32543945312
2023-04-13,2754.87622070312
2023-04-17,2787.57495117188
2023-04-18,2798.85034179688
2023-04-19,2754.8271484375
2023-04-20,2788.31005859375
2023-04-21,2825.81323242188
2023-04-24,2834.6376953125
2023-04-25,2841.40258789062
2023-04-26,2853.16821289062
2023-04-27,2843.314453125
2023-04-28,2845.66772460938
2023-05-02,2842.92236328125
2023-05-03,2872.48364257812
2023-05-04,2924.59545898438
2023-05-05,2954.10791015625
2023-05-08,2960.48095703125
2023-05-09,2975.53100585938
2023-05-10,2982.001953125
2023-05-11,3078.43139648438
2023-05-12,3069.9501953125
2023-05-15,3070.83276367188
2023-05-16,3076.81372070312
2023-05-17,3032.05541992188
2023-05-18,3048.3310546875
2023-05-19,3024.21142578125
2023-05-22,3024.65258789062
2023-05-23,3059.65576171875
2023-05-24,3040.92846679688
2023-05-25,3062.5478515625
2023-05-26,3067.302734375
2023-05-29,3076.12719726562
2023-05-30,3082.990234375
2023-05-31,3130.59228515625
2023-06-01,3177.40991210938
2023-06-02,3174.02709960938
2023-06-05,3137.25952148438
2023-06-06,3150.00561523438
2023-06-07,3161.82055664062
2023-06-08,3149.515625
2023-06-09,3139.20141601562
2023-06-12,3153.21655273438
2023-06-13,3220.43139648438
2023-06-14,3227.68579101562
2023-06-15,3251.52197265625
2023-06-16,3273.7294921875
2023-06-19,3266.67211914062
2023-06-20,3275.55517578125
2023-06-21,3272.9892578125
2023-06-22,3205.82397460938
